,href_to_journal
288,publication/359804285_Acute_haemolysis_following_COVID-19_vaccination_in_a_thalassaemic_patient_with_G6PD_deficiency?_sg=rQ_J1QTFTVzrNBjv7pHbn6hEiSNfCpU508Psy5ABbQvd6dxPoodYDvdBhrYXJmL-xOmNilEXgBW_Peg
289,publication/361121969_Publisher_Correction_Situational_factors_shape_moral_judgements_in_the_trolley_dilemma_in_Eastern_Southern_and_Western_countries_in_a_culturally_diverse_sample?_sg=tj6DVr2caps96P_DXNcZ4V0RLM0ZKM8wFBwDrkUqY9rkZ3cuiQGpUojHl9vvIpvveD1KRVvRdYirQBY
290,publication/358050322_The_Role_of_Optical_Coherence_Tomography_Angiography_in_Detecting_and_Monitoring_Inflammatory_Choroidal_Neovascularization?_sg=oOAThaVX-NRIpYDgnOIUTqx8-Z3TwDsv8Sx101PwzzWh33o5W2hr40IR4P1JSA1-ggC9n4O56um6zHw
291,publication/356763214_Interobserver_and_Intra-Observer_Reliability_of_Eyelid_Tests_for_Ocular_Myasthenia_Gravis?_sg=7pzGUimn4N-tLlS4AOLm9XJe7QNI2u7Bblr6buYTDrIvDk_IEaiEYXbXKXdXqsNLmyREaz-fyJl7c78
292,publication/360211853_Constitutional_Struggles_and_Polarised_Identities_in_Thailand_The_Constitutional_Court_and_the_Gravitational_Pull_of_Thai-Ness_upon_Liberal_Constitutionalism?_sg=PKWGXn9sfYzOCjwxsKIGBvho8XNq7An89dGpifd9XmSJ191Xjf7GYvBXEdP7AixcO-tTTNK3wBNk-sI
293,publication/360525705_Alprazolam_and_lorazepam_overdose_and_the_absence_of_brainstem_reflexes?_sg=Xz14CnXdNXXmItmYdypSg0oZYijbojQt5n-zWFOGLICNYli-H1Jwp6IHac_SbX2-EBHqp_AEM3SoZBI
294,publication/360664766_Wound_dressing_adherence_a_review?_sg=se61woyv-hcXU5YVKcBQVbwqcBn3TTqDnWC4kAeGQbzmH61h95-SGvzYGox-peW00HyMiAKbU1Fzndc
295,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=PorQM5iHnGVH8ve94qgvMQhLSu3vGfD32v1whulCaIU3RM7G1lT7sVIYne-JDdUXa3dU_JIc0OEulUU
296,
297,
298,
299,publication/358102589_Development_of_high-throughput_lacrimal_gland_organoid_platforms_for_drug_discovery_in_dry_eye_disease?_sg=Y1c6dEh12922rODKfelwBAzmfqD1QlnLfHBggCAYoQI6tUA_TrkA9oNWjoSZSB7CgSfuEI599SCPNNo
300,
301,publication/359784495_Building_business_human_rights_and_climate_change_synergies_in_Southeast_Asia_What_the_Philippines%27_National_Inquiry_on_Climate_Change_could_mean_for_ASEAN?_sg=A-zkbTOJebBSkZs0XN9qBnZXXuCuiq63FnpMdya9O8oXU0iULRXOGqjDkLxOXn1m31NtCTayvZPrYaU
302,
303,publication/357829892_Special_issue_-_Emerging_Trends_in_Thermocatalytic_Photocatalytic_Electrocatalytic_Photoeletrocatalytic_and_Biological_Conversion_of_Harmful_Gases_into_Benign_Compounds_for_Environmental_Protection?_sg=ruKtVAXStUSdwGzNrsqTocm1HR7r3zlvQn1PGJpWj0BQKEGmA8aGylx-MvtuZiFY2v2vY-XStm_PJt8
304,publication/357922910_Correction_to_Increased_Levels_of_Plasma_Tumor_Necrosis_Factor-a_Mediate_Schizophrenia_Symptom_Dimensions_and_Neurocognitive_Impairments_and_Are_Inversely_Associated_with_Natural_IgM_Directed_to_Malon?_sg=RkPn0esqtFdwso_affVOtT8O5546aK8pYbKqdaCrNCiNS4pEy9haAh5Bv9qWsN3p2Gyktu-y6ntgR-M
305,publication/355258408_Cholangioscopy_to_Diagnose_and_Manage_a_Patient_with_Congenital_Absence_of_the_Cystic_Duct?_sg=T4uuWFsqf3Fags9orKAFcBxL93Q72x9HdxU7C90dybSIqndQaVLPGSWbwLPfch0wBSE891m6UmHK6n8
306,
307,
308,
309,publication/385509490_Guest_Editors%27_Foreword?_sg=3H2bwN0X1aTWrc7IvO3h4i07dD2fGCkAQfw1icNz8x4yy2bdomPZkdVAj-G6RIsV1eT50NHrfD9s-eM
310,
311,
312,publication/363939839_La_Manfrediana_Methodus_en_Allemagne_au_Danemark_et_en_Boheme_reminiscences_au-dela_des_confins_caravagesques_connus?_sg=uGSY04Bqxze3dTUi8ETrrYiSzrfekoJlGUX9fs-iM748ZU1zE2EHsNP6zeNvYgiuXNqeW3JQAfvveh8
313,publication/358335904_Highlighting_Collaborative_Learning_in_Language_Classroom?_sg=rDfNQpsVvcijQiFUUmITuDtyKRWxZxUze3xmCuw3pN3BB4HQdOKJaePRhKbXIGQV3SIB6rH94TUDLOs
314,
315,
316,
317,
318,
319,
320,publication/361014203_WHEN_ARE_ISLANDS_NOT_ISLANDS_THE_PROBLEMS_OF_ESTABLISHING_SOVEREIGNTY_OVER_THE_SENKAKU_DIAOYU_ISLANDS?_sg=XAhMxLvisrGw76uuP9Rp-29TlZ17EhNQDCL4o4TZ0ZuXcPsmxWXengfUtaS3IttQeHz1EeUps6iP6xo
321,publication/359927912_A_DRL-Based_Service_Offloading_Approach_Using_DAG_for_Edge_Computational_Orchestration?_sg=xagLno5_4JBVU4bgjp0Jy2Frw4G02TyctTgcmIhT6EkMP718VY3Zy1o4wMxnfsHTrzlN-tXKbLTR98c
322,
323,
324,
325,publication/355488328_Correction_to_Leveraging_knowledge_of_Asian_herbal_medicine_and_its_active_compounds_as_COVID-19_treatment_and_prevention?_sg=-5bQxfyFrvOEn-Cq8PzRPaikNR9prGbnX799TRlA-mYuLY2w5rFjoTUhQf0hK3f9mpYvOdCfXcwi8eY
326,publication/355077575_Corrigendum_to_The_COVID-19_pandemic_face_mask_waste_A_blooming_threat_to_the_marine_environment_Chemosphere_272_2021_129601?_sg=OfTfy3QQXJ9MTGolQe0ITUG7OyEINGwTG4cIDFFuiMQYC5LOhbbHhxQ4YoKcoSmi2z8EMgNEWhsZrqk
327,publication/373492517_Author_Correction_Effect_of_plant_produced_Anti-hIL-6_receptor_antibody_blockade_on_pSTAT3_expression_in_human_peripheral_blood_mononuclear_cells?_sg=6E3pIxhJBd6gUJFuHou40NDdDhH9Nz72gkoTuSJ9VA0FbE2FrfPrci5c0FHYJGfqFvkkuh4q-wTbnIc
328,publication/370688602_Author_Correction_The_8-bromobaicalein_inhibited_the_replication_of_dengue_and_Zika_viruses_and_targeted_the_dengue_polymerase?_sg=ee7vVIaa6VHERl2TEUKo7rHz4ejbZ3KJMfqGhtqBkqHhHbZEje2bTotqppt4sOA2ecqSr-g34cZbwug
329,publication/370776455_Author_Correction_Intradermal_needle-free_injection_prevents_African_Swine_Fever_transmission_while_intramuscular_needle_injection_does_not?_sg=PpYmJr_hwlxYNdGGxOQR0nPja3vKsx9ByuontytdmJac1UyZaCzjyn7pRWcA6ID6yihzYnRqaHwpLjM
330,publication/369791591_Author_Correction_Compressed_composite_carbon_felt_as_a_negative_electrode_for_a_zinc-iron_flow_battery?_sg=PpZeFWrSsmAUQrJkqOQP4Fq7-raPW4vsJrU2uIPM8-8zYr8M1EDpSLIhq6EFV5WPjGkXD5B28WTwphk
331,publication/369451800_Author_Correction_Adaptive_effect_of_sericin_on_hepatic_mitochondrial_conformation_through_its_regulation_of_apoptosis_autophagy_and_energy_maintenance_a_proteomics_approach?_sg=C3v8zQu1zgHVIWt-Edo855BqzplGjlAeu2GTWNjufOl0lLklAP2TImKnl3d9ZcryM-AcHc69K67gOs8
332,publication/368169983_Author_Correction_Impact_of_the_adjunctive_use_criteria_for_intravascular_ultrasound-guided_percutaneous_coronary_intervention_and_clinical_outcomes?_sg=YI-4LMfCDAigiviKZ4eS0lbfuysLcu5h3dktzYKHE5JE2INVefJgc8PYENNYZ9iwtyQRhED-pFh-WvQ
333,publication/373312957_Simultaneous_immobilization_enhances_synergistic_interactions_and_crude_oil_removal_of_bacterial_consortium?_sg=U6v5Zy8AGN5zAMXo6hOHiUHtHdmK8TYO-ZtFzGAdJyxv0O4aQsV2BooqlrfadqBeVcCaPR1ZgLf9_so
334,publication/373173078_Safety_and_effectiveness_of_intravenous_CT-P13_in_inflammatory_arthritis_post-marketing_surveillance_study_in_Thailand?_sg=XvBNez3wvFbLV6qor8OLiVN92NM-Vi3fibDuAYEyVPMA9UzmJbj120wCiO1eK24BHsl5VTJGQBXfsQQ
335,publication/371995919_New_Trend_of_Applied_Plasma_Science_in_ISAPS_%2722?_sg=nGW7GD9d-r3Zy2OyuF1EBh3Sk04iYWkauS7Q4jtGNHargKfeHCiB_jVQA5IiS4yLFk5CevaihWglauQ
336,publication/372445789_Tracing_the_transmission_of_Mpox_through_wastewater_surveillance_in_Southeast_Asia?_sg=vTyLrzBEy6AbU94Z8YISeM11WHguPS5pKXHPqnRnJjvSXohyOlRimTJEakxbyjOOABIXfvUWEQzWFQQ
337,publication/373350052_Self-_and_physician-collected_high-risk_human_papillomavirus_HPV_testing_to_detect_high-grade_cervical_lesions_among_Thai_women?_sg=D7WMdcAVI50s9HE3Ob8ouMFAZ4pQCc3CAjW_BIdvzLJvgCQlHGUJOOfiOLhGQDMd_zP5HnWOHbz-_UE
338,publication/372785880_Body_Appreciation_Around_the_World_Measurement_Invariance_of_the_Body_Appreciation_Scale-2_BAS-2_Across_65_Nations_40_Languages_Gender_Identities_and_Age?_sg=CWyCd1HjvjIFZqPjd3edA5nm4a7XT_8qxZ9KqqkMEqYfEbXKOTj_OkXvyh1yZwgMhb0KeG9iN_a9j1k
339,publication/373606481_Erratum_to_%27A_Man_with_a_Uterus%27_Journal_of_Obstetrics_and_Gynaecology_Canada_459_2023_629-630?_sg=N_bDinO_epLgqd5mgPQrJOFyB_WUhSIeVFvz7o4-7ht_6_AOVydQ5r0deZ1QbRFCgCxd7KM4T83mD-k
340,
341,publication/373568010_Renieramycin_T_Derivative_DH_22_Induces_p53-dependent_Apoptosis_in_Lung_Cancer_Cells?_sg=DUA27iaRq8s55yPjPaeFRgMFNF7klkUshnbLwcodq1VWo7KNs9OZ61Ala-PGDleDlBRc0-uUAlgdzsA
342,
343,publication/372902856_Mangiferin_is_a_new_potential_antimalarial_and_anticancer_drug_for_targeting_serine_hydroxymethyltransferase?_sg=mWP0zdGZP8akYmd50RiHhvEDiZGPoOqtHJKMdn_f8bf1gnlINQ-djslK8GeVdCcHL2G8Yjd1zvzGvXk
344,publication/371065960_The_Potentially_Significant_Role_of_CYP3A-Mediated_Oxidative_Metabolism_of_Dabigatran_Etexilate_and_its_Intermediate_Metabolites_in_Drug-Drug_Interaction_Assessments_Using_Microdose_Dabigatran_Etexila?_sg=A4EF8Mpvvf292GJPDSASAQhLDsxcBV_UGhacjQsudLTXRWk1vx28zmvJQ_vkLYJYIyzV4EIaXbLSsn8
345,
346,
347,publication/372343063_Metaproteomic_Analysis_of_Gut_Resistome_in_the_Cecal_Microbiota_of_Fattening_Pigs_Raised_without_Antibiotics?_sg=7vNfG8FFWZpXgAvqpSvsAKpismnFBLJBell6FxfVn0kCYTtoSVYzopkZf1hWzSvIjW5Mzs8oE5Eo4pw
348,publication/372164111_Blockade-of-Binding_Activities_toward_Envelope-Associated_Type-Specific_Epitopes_as_a_Correlative_Marker_for_Dengue_Virus-Neutralizing_Antibody?_sg=qF8K_KITMrEELbEIeTwN_npe0LrVkVVIMxNqrKmG5dsMENlVibtaXUWteEuT-diG7B9SPj--8eq2xzg
349,
350,publication/373707316_Global_impacts_of_COVID-19_on_lifestyles_and_health_and_preparation_preferences_An_international_survey_of_30_countries?_sg=PfhhILyXieIMRzdOtMoaTSVo3J8CBaaCE31E66wJq_jvIpBWEa4mA8jRSWVYRkfk4Lz6xxrBPutJnBk
351,publication/373215623_Azimuthal_Correlations_within_Exclusive_Dijets_with_Large_Momentum_Transfer_in_Photon-Lead_Collisions?_sg=QzP2DKdHOUVlxEAdS438LKHDfO21MJNJ-2P_7stX_1-wNNafOvYbqyXJ9TqXSVpvZ7FtiUKiE1tweEI
352,publication/372899167_Binary_Comprehensive_Learning_Particle_Swarm_Optimization_Approach_for_Optimal_Design_of_Nonlinear_Steel_Structures_with_Standard_Sizes?_sg=9ONeGEOMqVeVqCkUPq7RRmCxLYbtf7XMh9BAKJC1z20ntCtBMC0Phr0z8_L-fjj1rwWnwDTE3HziAaw
353,publication/369508207_Plant_Molecular_Farming-derived_Epidermal_Growth_Factor_Revolutionizes_Hydrogels_for_Improving_Glandular_Epithelial_Organoid_Biofabrication?_sg=CstehiwQyyY0MojUXao53rijzHGrr4Q__vOa_50miEl2Wy3aIp3WgJKqcEPW7z9M5ZVElFuZF6iFjBw
354,
355,
356,
357,publication/372655081_Sericin_coated_thin_polymeric_films_reduce_keratinocyte_proliferation_via_the_mTOR_pathway_and_epidermal_inflammation_through_IL17_signaling_in_psoriasis_rat_model?_sg=Ev7Q2Ae4_i5aDxf5GROTlJm74CJt-UoKkfsN_FKEdSPibA_sgnB0WAddTQUYY8L_EcHJ8R745ge-NfM
358,publication/372655071_Geographic_population_structure_of_the_honeybee_microsporidian_parasite_Vairimorpha_Nosema_ceranae_in_the_South_West_Indian_Ocean?_sg=V7Fa19A-TeujevXcj80wuU_PmdyCRJlXFS88Isw2B1uSMRewO9W14PRQx7LlFtyYSHwgjkzHpKxoux8
359,
360,publication/369709678_Risk_factors_of_intraoperative_blood_transfusion_in_pediatric_craniotomy_for_intracranial_tumor_resection_a_10-year_analysis?_sg=iByqbOeE9Fu_-fTE5beTWh7EVLWYfBoNXBWGrqudxAMnNrymeJEo172gQut7LEAnTREVFWwRvV8Rvfw
361,publication/370469914_PRB_inhibited_cell_proliferation_through_let-7b-E2F1_in_breast_cancer?_sg=VrJ33DPRd471qOAE29H9iWCSU2QOpj1pL0oViYzLKtkGDf-Qe39ncKZv-t1FgZfKWuuXz1PlTAEJxGU
362,publication/370380585_Corrigendum_to_Comparative_genomics_and_proposal_of_Streptomyces_radicis_sp_nov_an_endophytic_actinomycete_from_roots_of_plants_in_Thailand_Microbiol_Res_254_2022_126889?_sg=1EHhrjpXJdo3ADuL4TKbKCJQt54RAADmD7oGnBkv-QEYDtkselcOjmGGfOAUlQzrogrLcQKxDcabgLU
363,
364,publication/371209658_Corrigendum_to_Ball_mill-assisted_synthesis_of_NiFeCo-NC_as_bifunctional_oxygen_electrocatalysts_for_rechargeable_zinc-air_batteries_J_Alloy_Compd_922_2022_166287?_sg=RPHRf4ba911WtpTU59UTTkvcOAGf6aqclLoUjCK37oC33HAg12hIz-Bwi0YUXcAYbNfkbTc8EQZD7Qs
365,publication/371279623_Dissecting_specific_Wnt_components_governing_osteogenic_differentiation_potential_by_human_periodontal_ligament_stem_cells_through_interleukin-6?_sg=lYh8u6a7f1S_N7VRtoE0VAwykgDSOviLnL9DdD7KCpdWqYiAcPMedb15GQE5YxT9yGVSMSdm2oOuybk
366,publication/369769669_Salivary_gland_regeneration_from_salivary_gland_stem_cells_to_three-dimensional_bioprinting?_sg=Kq5535S5b1rNu8IHmixW6LfggvshzpgPIWi86qykYue5YbOBftlVkUN7f8wJGi4riWA705kWyuFsU84
367,publication/371206453_Structural_and_binding_studies_of_a_new_chitin-active_AA10_lytic_polysaccharide_monooxygenase_from_the_marine_bacterium_Vibrio_campbellii?_sg=_eLEElJNp7RWpSFxt4tmIFEG62hVgCZaO4nGWSWEpwUlFrLEBHcCTak0UNWqpVj3MGVRUPeM46ubaEQ
368,publication/369621538_Correction_to_Discrimination_of_Curcuma_species_from_Asia_using_intron_length_polymorphism_markers_in_genes_encoding_diketide-CoA_synthase_and_curcumin_synthase?_sg=A21eYVLaksZgHeIKyA19_a_rxoU_62wfkRZIa6Uh4iHXhxqAimXlbtfarh_3HwHj3rvtfknhdRGv5QU
369,publication/365992390_Correction_Quality_of_the_adaptation_procedures_and_psychometric_properties_of_the_scale_of_oral_health_outcomes_for_5-year-old_children_SOHO-5_a_systematic_review?_sg=bfir4r5NeUdwKiQEth7L_UZQQthVFmAg8fafA_uKfgLg3wn47q_p_h_DNaC_ijr3qcTSKpt2cihl2DA
370,publication/379109354_The_Rhizosphere_Microbial_Community_Structure_and_Plant-Microbe_Ecology?_sg=FJ3L9kIz7xzn15oNAxiOLlAbUp3olhqKJRHpG7RIlxRUyxJn4RrRjWFgZYDPy0mOCedqHrKHWndgO_M
371,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=ijSr9Bu5r3dXsaBZozZyhhxHNww0nbuOUv80zsMJQmGmGMVLbHbR5ygP42OZ4trLG2NQIH6dyM6nFmA
372,publication/368534218_A_candidate_locus_in_the_renalase_gene_and_susceptibility_to_blood_pressure_responses_to_the_dietary_salt?_sg=6k9DtrR96tFnZ0ld4jM91uiEAoPUcExH3aURVDU4Tfso0c0s9e2x3zhxpzcg8Rz312L3HrgeElg0JgQ
373,
374,publication/368568245_Corrigendum_toLusianthridin_targeting_of_lung_cancer_stem_cells_via_Src-STAT3_suppression_Volume_and_pages_of_the_publication_Volume_62_September_2019_152932?_sg=ziRLpP-HMJmcV63aJ5ss3iANJxKAYAxG_DZblO_5iXQT6SVhOGdDj1nAHdXD9lgojB5l2BGRLv_2LYk
375,publication/362985600_The_attitudes_and_expectation_of_caregivers_of_febrile_child_receiving_medical_services_a_multicenter_survey_in_Thailand?_sg=Mv0xVlNPC6plYhPjSSLl-iigNOzuUUDGjWvvwC_LnYDZ4cBdeUo2UntIQPg632WecMsS2tdr3GVHXg8
376,publication/366967120_Molnupiravir-associated_nail_and_hair_fluorescence_on_Wood%27s_lamp_examination?_sg=8ZPq1JVE5Un9C1iBppnCY7-DbhVXf38680rQfw6T7-J6HZ76J7LZ-oRFBYdPBGBqpvRwvuoxPyTf5fs
377,publication/366961686_Different_protective_capability_of_chlorogenic_acid_and_quercetin_against_indomethacin-induced_gastrointestinal_ulceration?_sg=Y65Pp2YF5eRp1n9u20Uy0e9uxF60jXjINsYgoYPhxZ4r_I7esoYXbmgLUAhSe7mmCRJyuWgNBVdhEKg
378,publication/368982951_Correction_Tailoring_the_MOF_structure_via_ligand_optimization_afforded_a_dandelion_flower_like_CoSCo-NxCoNiNiS_catalyst_to_enhance_the_ORROER_in_zinc-air_batteries?_sg=KRl8Flb6GkZ8EhfiWKssWiPHnWv655_Q-Gs2s_e_HmeyaidzjaEKGcP-KX8aAx8fmHciSIeSdJP7uLI
379,publication/368870624_Publisher_Correction_Observation_of_triple_Jps_meson_production_in_proton-proton_collisions?_sg=GmyFKisccWg51gXpNVza8YZMrhAoBHxWS8eFfEio124J-vKJGd5SrKG8as4VBjQu6Rj6enlAA5OAbTE
380,publication/369656747_Sudden_Cardiac_Arrest_in_a_Dental_Patient_Awaiting_Examination?_sg=ypoZIlHXA4mvKUoYa7B_Ww_xvl4avtGxI5Vc8TSon1YAH8nilOWd7ExsdN3iHNQOD1Ij9bHwwp9odnc
381,publication/361494482_Vowel_sound_production_and_its_association_with_cephalometric_characteristics_in_skeletal_Class_III_subjects?_sg=QlNGUt7oQuWEoaSBpu4HdUlGRk3otfUC7QIm4WWl6mG773AuCmK6n-NZoiQ7Eo4aeJWAzHnPaawl_fw
382,publication/325872301_Measurement_of_prompt_and_nonprompt_charmonium_suppression_in_text_PbPbPbPb_collisions_at_502text_Tetext_VTeV?_sg=GFMlcmadDrUEYkUyF3c6tDEz6yF3a9tahCihoBMBLEeKQ0vLDDWCa8xsLsSHQsT4raPWlzt3Gj8bKDw
383,publication/368453895_Correction_Calcium-doped_cesium_iodide_scintillator_for_gamma-ray_spectroscopy?_sg=eZpQxdaUnlQu78cAvbcuPJ25AZexvN185ECZoGRRYjANMyE9o0lCTziiUuka60hJQtaDFM9l3EdVnPo
384,
385,publication/367970651_Editorial_Methods_in_industrial_biotechnology_and_bioprocess_engineering-Microalgae_as_a_source_of_valuable_compounds?_sg=SEtO7tShAOS6BU2_XN_gsyrSuooRQ_vcg1PfzPNI-Yl-kqxmLbBTpQV0oPzG34BuqsgnYxt9Quou-IE
386,publication/364192763_Chemical_triggering_cyanobacterial_glycogen_accumulation_methyl_viologen_treatment_increased_Synechocystis_sp_PCC_6803_glycogen_storage_via_enhancing_levels_of_gene_transcript_and_substrates_in_glycog?_sg=JUgqTcqRYbs3F_--US1UV-uIppmewMGDUrMiWraKuf8ZfNyN4hoct03FqH7I5Hymn2IUZsF3a-qwihY
387,publication/366956314_Skin_testing_might_have_a_diagnostic_role_in_immune_complex-mediated_hypersensitivity_reactions?_sg=zdrY1m84VdJHdgcEEFzUipda_bXnPDl-qhMYR032dQyMsXzhheQJaPr1UeCC7GUalzJuytxnYSW7miY
388,publication/364755936_Corrigendum_to_Priorities_to_inform_research_on_marine_plastic_pollution_in_Southeast_Asia_Sci_Total_Environ_volume_841_2022_Article_156704?_sg=9dyX-dJik7-p487U0CJte6YSuiFwCFyopTbnVOhUaV8W26vZcPD2rN2BO-160Fhg7kmTGMs5dDbIN_A
389,publication/367020302_Author_Correction_Predicting_the_potential_for_zoonotic_transmission_and_host_associations_for_novel_viruses?_sg=qkz6nt9CxG0IHc7BGrJAAQ3yl5VgB0Bh-APE50xUKPOIGx2sa9xcHkWHZiQwxWEHDHqh7CmpN8yDXmE
390,publication/373104453_Exploring_the_Complex_Phenotypes_of_Impaired_Finger_Dexterity_in_Mild-to-moderate_Stage_Parkinson%27s_Disease_A_Time-Series_Analysis?_sg=nJOV35rxqOdMRmyUWBpBQR63qubidKxhDA-3qK9vkmL3Y8hI2_dku9SgDPjob5yTLt7IfSXlovoUtAc
391,publication/373231387_Editorial_Sleep_disorders_and_airway_diseases?_sg=qbqKDDCEESZ-sb1ZYEOuZSv0-LixlKPOfms-iUDmahyE3Mxq2mt6OBxsgBOVp3_8Zu4KgoUTKjhtXI8
392,
393,publication/361942749_Curcumin_reduces_blood-nerve_barrier_abnormalities_and_cytotoxicity_to_endothelial_cells_and_pericytes_induced_by_cisplatin?_sg=Lf1xzTTwNKVY9yGCVJGsRmjTZPKxvhy8uyX1xKQX8Vzy8lX9AUvuBMSljZ_8Lk7xuTxT3AtN1OHyhMA
394,
395,publication/373365171_Non-invasive_specimen_collections_for_Mycobacterium_tuberculosis_detection_in_free-ranging_long-tailed_macaques_Macaca_fascicularis?_sg=9yxcmdZ4i_SyW9jUEdl124tvADyOviB7srKduUi5LZ47uo--oKbq2x8VU_dzDoPyJL1_pva1qgystuU
396,publication/373234553_A_New_QoS_Optimization_in_IoT-Smart_Agriculture_Using_Rapid_Adaption_Based_Nature-Inspired_Approach?_sg=INCUo34ig1ZeK4ZqT45k-tTFyaFRCbxcRwHvtrtBUMj4CHbNOH6d1ajtBSyiEUC2gsJA_n8EQBxm2oE
397,publication/373123533_A_Novel_FDA-MIMO_Deceptive_Jamming_Method_For_Neutralizing_Phase_Array_Radar?_sg=iUA2abtIDlHoLDmuRAfymyu6tcJip3f8gD6u6dhyz_h73Vk5Ch5g2Y4Ksy1eY0JZ5kOFqJ-Kwo9xkeg
398,publication/371248301_Hemoperfusion_in_COVID-19?_sg=37pUCE2QY0zJB5EfKx7Oys0DiJ6SHAp1LbAwPuQXL204LG1RAloomEjIwZGDiP92TpRqoc8mpRxOC8s
399,publication/372615112_Editorial_Redox_control_of_plant_metabolism_and_biofuel_production?_sg=d9ZqLRTiUkr3Ye_lSTuxV9B5jFbzrfZoVURiEJFpVrcrVemKz2ozDH38MwBLGRqrS9z9zpiYpRgoAL0
400,
401,
402,publication/371923704_Corrigendum_Epidemiology_risk_factors_and_outcomes_of_prolonged_mechanical_ventilation_with_different_cut-points_in_a_PICU?_sg=d7YFmmmCkJPYo6xFMuzd2IZOHQVo2iLeGPY_v3bGiFkIoeoVHWBXCNPNxlmjDBgQCU1MvI6FsbsZ5Uk
403,publication/372162024_Correction_to_The_clinical_efficacy_of_the_allogenic_demineralized_dentin_matrix_graft_for_implant_placement_a_systematic_review?_sg=xQVISW_eFAuRV45fiJk2hSykiOci9gpPwMLVaPVBMU4AOSzceeHz7Y19t472oWkOp5tLwUVSvai0CMc
404,publication/371923637_COVID-19_infodemic_on_Facebook_a_social_network_analysis_in_Thai_context?_sg=17euYycQksZvVN6aPVEmytPG2Xm-OP6W8jwuTDUpR_lMKnfW01_GZcpaAu_vKs_NtrfuYgSlaDFsyJI
405,
406,publication/368442305_Editorial_Applications_of_photonic_sensors_in_smart_cities?_sg=vu3h95zFxvaBRoOaUkDevFVU19-FKa99AKu1NoZRnYbo0WQYy6bX6tIzMJhZRovTeGW_WwPUilt8uoU
407,publication/385509490_Guest_Editors%27_Foreword?_sg=pWnPqQS2OSkZAxkugEKSCCtw_3wR25Wamvdmih79DcILSxSC2cXY_ivmMjIOtShJ11XkC3O_wCjSTDM
408,
409,publication/369934057_RRWaveNet_A_Compact_End-to-End_Multi-Scale_Residual_CNN_for_Robust_PPG_Respiratory_Rate_Estimation?_sg=z4B0VDKSfXV1KF3V3UoSycE8x-6PT7QqBm6DtyeQdS5Sk4g917NS6rs_v7_T4E9fFs7ehmujhxJcuPE
410,
411,publication/368600366_Efficient_LiDAR-Trajectory_Affinity_Model_for_Autonomous_Vehicle_Orchestration?_sg=03jMKW6mMoLk8F_0kaOZOOcx-zqO-E_pl6_mEDdGW1VSHy85B0yP2m_ZuM2zxHNgEc6nUdXffaeejQQ
412,
413,publication/364371928_Hepatic_Leukaemia?_sg=UMkaAWRHpxURXYORbNkDZl3_kD-ASJT_zXcpBIrCdCupoAuF3-zsNh13rI-1x7OyKGmGDYRbC6mwa1U
414,publication/361256764_Microanatomy_of_the_central_myelin_portion_and_transitional_zone_of_the_oculomotor_and_abducens_nerves?_sg=8Da5zC-LFUVHv3rkYB3h2geKHEvXntyf9PgXiC00YBMsFRpgpDcneMAGtIzitYbH4JgJsKOD3_ZqI-o
